seq	headword	page	best_source_file	best_backup_seq	best_backup_headword	best_match_type	candidate_count	snippet
71	暴力	20	0751-1000.md	975	践踏	example_contains	8	## 0975. 践踏  - ピンイン: jiàntà - 例文:   - 不要践踏花草。   - 这片农田被羊群践踏了。   - 草坪已被践踏得看不见草了。   - 那里发生了拥挤践踏事件，死伤一百多人。   - 比喻用暴力欺压、破坏：摧残法律是庄严的，不允许任何人践踏。   - 侵略者在别国领土上肆。 - 例文ピンイン:   - bú yào jiàn tà huā cǎo。   - zhè piàn nóng tián bèi yáng qún jiàn tà le。 
112	边界	32	2501-2750.md	2183	巡逻	example_contains	1	## 2183. 巡逻 - ピンイン: xúnluó - 例文:   - 战士们每天在边界进行巡逻。   - 他们在巡逻中发现了这个可疑的人。   - 晚上他们派人值班，定期巡逻。这是重要的军事基地，每天都有人巡逻。飞机不停地在空中巡逻。   - 活动期间，警察出动巡逻车的次数增加了很多。   - 循环循序渐进607题 - 例文ピンイン:   - zhàn shì men měi tiān zài biān jiè jìn xíng xún luó 。   - tā men 
113	边境	32				example_contains	0	
114	边缘	33				example_contains	0	
115	编织	33				example_contains	0	
116	鞭策	33				example_contains	0	
117	贬低	33				example_contains	0	
118	贬义	34				example_contains	0	
119	扁	34	0501-0750.md	532	发炎	example_contains	1	## 0532. 发炎  - ピンイン: fāyán - 例文:   - 我嗓子发炎了，很痒。   - 扁桃体要及时处理，防止发炎。   - 他的眼睛又肿又痛，肯定是发炎了。   - 他的肺部已经发炎了，常要住院治疗。   - 这几天雾霾严重，很多人喉咙发炎了。 - 例文ピンイン:   - wǒ sǎngzi fāyán le, hěn yǎng.   - biǎntáotǐ yào jíshí chǔlǐ, fángzhǐ fāyán.   - tā de yǎnjīng 
120	变故	34				example_contains	0	
121	变迁	34				example_contains	0	
122	变质	35				example_contains	0	
123	便利	35	2001-2250.md	1911	投机	example_contains	3	## 1911. 投机  - ピンイン: tóu jī - 例文:   - ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ③大家在一起有坑有笑，非常投机。   - 我ｲi]看法一致，聯得ｲ艮投 机。   - 他ｲ   - ､]価一凡面就覚得投机得ｲ艮・   - 我眼他説不到一起，完 全不投机。 ③他裳投机嫌了不少桟。le看到有机会利用取秀便利投机，他打 
124	便条	35				example_contains	0	
125	便于	35				example_contains	0	
126	遍布	36				example_contains	0	
127	辨认	36				example_contains	0	
128	辩护	36				example_contains	0	
129	辩解	36	0001-0250.md	210	苍白	example_contains	2	## 0210. 苍白  - ピンイン: cāngbái - 例文:   - 他的脸色很苍白，好像生病了。   - 苍白的灯光下，他显得很孤独。   - 这场突发事故把他吓得面色苍白。   - 他的脸色苍白，不知道说什么好。   - 简单的说教显得苍白无力。   - 他的辩解在事实面前显得很苍白。   - 再多的华丽词语，也掩盖不了内容的苍白。   - 这篇文章感情色彩不浓厚，文字也显得很苍白。 - 例文ピンイン:   - tā de liǎnsè hěn cāngbái, 
130	辩证	37	0751-1000.md	906	极端	example_contains	1	## 0906. 极端  - ピンイン: jíduān - 例文:   - 这两天的温度已经到了极端，不会再热了。   - 他的观点从一个极端走向了另一个极端。   - 他说话总是走极端，把好的说得特别好，坏的说得特别坏。   - 他对这件事极端不负责任。   - 他的观点太极端了，我不能同意。   - 看问题不能那么极端，应该辩证一些。   - 他们是极端保守的一派，很多人并不支持他们。   - 很多国家的人民都经历过一段极端贫穷的日子。 - 例文ピンイン:   - zhè
131	辫子	37				example_contains	0	
132	标本	37	0001-0250.md	198	采集	example_contains	1	## 0198. 采集  - ピンイン: cǎijí - 例文:   - 他采集了很多植物标本。   - 我采集了一些石头的样本回来。   - 他利用网络采集了大量销售信息。   - 在古代，一般妇女负责采集果实，男人负责打猎。   - 他到处去采集民歌，回来后整理、创作。 - 例文ピンイン:   - tā cǎijí le hěn duō zhíwù biāoběn.   - wǒ cǎijí le yìxiē shítou de yàngběn huí lái.   - 
133	标记	37				example_contains	0	
134	标题	38				example_contains	0	
135	飙升	38				example_contains	0	
136	表决	38	3501-3750.md	1912	投票	example_contains	5	## 1912. 投票  - ピンイン: tóupiào - 例文:   - 〈劫＞逸挙，通泣汁算逸票数量的方式决定被逸挙人表决波案 ②送次逸挙我ｲi]都投票了。   - 姪辻投票，他以70%的得票率荻 腔，成力了新一届的国家忌铳。   - 不知道力什公，他没参加远次投 票。   - '＠我圦力他有能力，所以投了他一票。   - 毎小人只能投一票。   - ﾇﾅ远次改革，我投养成票。 9 - 例文ピンイン:   - 〈jié＞yìjǔ，tōngqìzhīsuànyìpiàos
137	表态	38	0751-1000.md	1012	截止	example_contains	1	## 1012. 截止  - ピンイン: jiézhǐ - 例文:   - 比赛报名日期将于本月25日截止。   - 截止到今天，我们仍然没有收到上海队的报名材料。   - 截止到目前，他们还没有任何表态。   - 文件提交的截止日期是8月。   - 日。   - 自投标文件发出之日起到投标文件截止之日，最短不得少于20天。   - 报名日期很快就截止了，你们抓紧时间吧。 - 例文ピンイン:   - bǐ sài bào míng rì qī jiāng yú běn yuè
138	表彰	39	0751-1000.md	968	见义勇为	example_contains	2	## 0968. 见义勇为  - ピンイン: jiànyìyǒngwéi - 例文:   - 他见义勇为的行为感动了大家。   - 他是个见义勇为的英雄。   - 这种见义勇为的举动吓坏了那个小偷。   - 他因为见义勇为受到了表彰。   - 当时没什么害怕的，谁碰到这种情况都会见义勇为的。 - 例文ピンイン:   - tā jiàn yì yǒng wéi de xíng wéi gǎn dòng le dà jiā。   - tā shì gè jiàn yì yǒng 
139	憋	39				example_contains	0	
140	别墅	39	0501-0750.md	524	发财	example_contains	1	## 0524. 发财  - ピンイン: fācái - 例文:   - 他这些年开公司发财了。   - 他发财以后，买了很多套房子。   - 他总梦想着有一天能发财而不努力工作。   - 他不希望发多大财，只希望过平静的生活。   - 他发了一笔大财，买上了汽车和别墅。 - 例文ピンイン:   - tā zhèxiē nián kāi gōngsī fācái le.   - tā fācái yǐhòu, mǎi le hěn duō tào fángzi.   - tā
141	别致	39	0001-0250.md	224	层次	example_contains	1	## 0224. 层次  - ピンイン: céngcì - 例文:   - 不同年龄层次的人，想法也会不同。   - 文章的层次分明，逻辑性强。   - 我不会接触那些低层次的人。   - 这些有层次的建筑，显得非常别致。   - 两国进行了高层次的接触和会谈。 - 例文ピンイン:   - bùtóng niánlíng céngcì de rén, xiǎngfǎ yě huì bùtóng.   - wénzhāng de céngcì fēnmíng, luójíxìn
142	别扭	40				example_contains	0	
143	濒临	40				example_contains	0	
144	冰雹	40				example_contains	0	
145	丙	40	0251-0500.md	292	重畳	example_contains	27	## 0292. 重畳  - ピンイン: zhòng dié - 例文:   - 丙座山重畳交錯在一起。   - 遠小机杓在功能上身那小机杓重畳 了。   - 丙張相片重畳在一起，他以力是一張。   - 小弦ル把両又手 重畳在一起，倣成鶴子で的形状。 - 例文ピンイン:   - bǐng zuò shān zhòng dié jiāo cuò zài yì qǐ.   - yuǎn xiǎo jī biāo zài gōng néng shàng shēn nà xiǎo j
146	并存	41				example_contains	0	
147	并非	41				example_contains	0	
148	并列	41				example_contains	0	
149	拨	41	2251-2500.md	1890	挑拔	example_contains	2	## 1890. 挑拔  - ピンイン: tiāobá - 例文:   - 他在挑拨我们的关系，不要上当   - 他挑拨得公司内部很不团结   - 他为什么总是挑拨是非   - 我们的感情很深，谁也挑拨不了   - 你不要相信别人的挑拔 - 例文ピンイン:   - tā zài tiǎo bō wǒ men de guān xì， bú yào shàng dàng   - tā tiǎo bō dé gōng sī nèi bù hěn bù tuán jié   - tā
150	波浪	42	2251-2500.md	2053	掀起	example_contains	3	## 2053. 掀起  - ピンイン: xiānqǐ - 例文:   - 他掀起盖子一看，里面什么都没有   - 他掀起了姑娘头上的布，看清了她的模样   - 他掀起被子就往外跑   - 工人们掀起井盖，下到井中工作   - 海上掀起一阵阵浪花   - 海风一吹，掀起巨大的波浪   - 湖水起了波涛，一场大雨就要来临了   - 汽车经过的时候，掀起一阵风   - 进入上世纪80.年代后，中国掀起了改革的浪潮   - 当时曾经掀起了一场技术革命   - 他们掀起了一场罢工运动
151	波涛	42	2251-2500.md	2053	掀起	example_contains	1	## 2053. 掀起  - ピンイン: xiānqǐ - 例文:   - 他掀起盖子一看，里面什么都没有   - 他掀起了姑娘头上的布，看清了她的模样   - 他掀起被子就往外跑   - 工人们掀起井盖，下到井中工作   - 海上掀起一阵阵浪花   - 海风一吹，掀起巨大的波浪   - 湖水起了波涛，一场大雨就要来临了   - 汽车经过的时候，掀起一阵风   - 进入上世纪80.年代后，中国掀起了改革的浪潮   - 当时曾经掀起了一场技术革命   - 他们掀起了一场罢工运动
152	剥削	42	2501-2750.md	2190	压榨	example_contains	1	## 2190. 压榨 - ピンイン: yāzhà - 例文:   - 我们压榨了三斤花生油。   - 他把西瓜压榨成了汁。   - 这是经过粉碎、压榨程序制成的产品。这些大豆很快就被压榨出油了。   - 比喻残酷地剥削这些民工受到了这个包工头的压榨。   - 封建社会，统治者残酷地压榨劳动人民。   - 他们指责有些国家企图通过增加工作时间来压榨消费者。他们再也受不了压榨，终于开始反抗了。 - 例文ピンイン:   - wǒ men yā zhà le sān jīn huā
153	播放	43	1001-1250.md	1065	镜头	example_contains	6	## 1065. 镜头  - ピンイン: jìng tóu - 例文:   - 渚大家看鏡夫。   - 鏡失肱了，咳清洗了。   - 我忘了打升鏡失 孟ル。   - 氾者的鏡失ﾇﾅ准了他。 ②照相攝取的一十画面 ③屯祝里播放的是他出坊的凡小鏡失。 - 例文ピンイン:   - zhǔ dà jiā kàn jìng fū 。   - jìng shī gōng le ， ké qīng xǐ le 。   - wǒ wàng le dǎ shēng jìng shī   mèn
154	播种	43	3001-3250.md	2522	种子(種子)	example_contains	2	## 2522. 种子(種子)  - ピンイン: zhǒng zi(zhǒng zi) - 例文:   - 过了几天，种子就发芽了。「他们在精选种子，准备播种时   - 用。   - 植物的种子各式各样的。种子的储存是有一定条件的。 - 例文ピンイン:   - guò le jǐ tiān，zhǒng zi jiù fā yá le。「tā men zài jīng xuǎn zhǒng zi，zhǔn bèi bō zhǒng shí   - yòng。   - zhí w
155	伯母	43				example_contains	0	
156	博大精深	43				example_contains	0	
238	颤抖	65				example_contains	0	
239	昌盛	65				example_contains	0	
240	猖狂	66				example_contains	0	
241	尝试	66				example_contains	0	
242	常年	66	0001-0250.md	87	奔波	example_contains	7	## 0087. 奔波  - ピンイン: bēnbō - 例文:   - 为了生活，他四处奔波。   - 他奔波了一年，什么也没得到。   - 一年过去了，我们奔波在模特公司和广告公司之间。   - 经过这两年的奔波，我感觉有些疲倦。   - 他常年在外奔波，身体出现了一些问题。 - 例文ピンイン:   - wèile shēnghuó, tā sìchù bēnbō.   - tā bēnbō le yì nián, shénme yě méi dédào.   - yì 
243	常务	66	2251-2500.md	2023	务实	example_contains	1	## 2023. 务实  - ピンイン: wùshí - 例文:   - 他是一位很务实的人   - 他这种务实的作风得到了大家的赞扬   - 本着务实的精神，他谈了三点计划   - 这位领导非常务实，做了很多具体工作   - 他的问题就是说得多做得少，不够务实 - 例文ピンイン:   - tā shì yī wèi hěn wù shí de rén   - tā zhè zhǒng wù shí de zuò fēng dé dào le dà jiā de zàn yá
244	偿还	67	3501-3750.md	1856	计偿还偿	example_contains	1	## 1856. 计偿还偿  - ピンイン: jìchánghuáncháng - 例文:   - 、他根会付价述价， 省了不少銭。   - 我都快赔了，休就不要汁价込价了。   - 糸西，可以汁价逐价。 ②比愉淡判或接受任各时洪条件 ①美子交货时同，双方述在时价込价。   - 在原则I可题上不能时价 込价。   - le他没有痛快答厘的时候，毎次都要时价逐价。   - 返去汁价迩价，淡判就不会有姑果。 - 例文ピンイン:   - 、tāgēnhuìfùjiàshùjià， 
245	场合	67	0501-0750.md	616	夫人	example_contains	5	## 0616. 夫人  - ピンイン: fū rén - 例文:   - ＜名＞対妻子的尊称（用干正式场合）   - ⑪’怠銃及夫人参汎了迄座学校   - 遠次活劫可以携帯夫人参加   - 固迩篤慈职驚｡'⑳…-下~……” - 例文ピンイン:   - ＜ míng ＞ duì qī zǐ de zūn chēng （ yòng gàn zhèng shì chǎng hé ）   - ⑪’ dài chòng jí fū rén cān fàn le qì zuò xué 
246	场面	67	0001-0250.md	206	残忍	example_contains	17	## 0206. 残忍  - ピンイン: cánrěn - 例文:   - 他被敌人残忍地杀害了。   - 敌人用非常残忍的手段折磨他。   - 动物之间的争斗有时候很残忍。   - 这种残忍的场面让人感到震惊。   - 这个不孝的心肠实在太残忍了。 - 例文ピンイン:   - tā bèi dírén cánrěn de shāhài le.   - dírén yòng fēicháng cánrěn de shǒuduàn zhémó tā.   - dòngwù zh
247	场所	67	0001-0250.md	216	嘈杂	example_contains	9	## 0216. 嘈杂  - ピンイン: cáozá - 例文:   - 屋里声音嘈杂，什么也听不清。   - 他就生活在这片嘈杂的闹市区。   - 他随时都会睡着，即使在这种嘈杂的场所。   - 外面嘈杂的声音吵得他无法入睡。   - 街上传来了一阵嘈杂、刺耳的声音。 - 例文ピンイン:   - wū lǐ shēngyīn cáozá, shénme yě tīng bù qīng.   - tā jiù shēnghuó zài zhè piàn cáozá de nà
248	敞开	68				example_contains	0	
249	畅通	68	1751-2000.md	1575	渠道	example_contains	2	## 1575. 渠道  - ピンイン: qú dào - 例文:   - 这条渠道是为从密云水库引水到城区而修建的。   - 每年冬天都要修整渠道。   - 宽阔的渠道非常美丽。   - 渠道的两岸绿树成荫。   - 途径、门路这个单位的民主渠道很畅通，言论非常自由。   - 我们要扩大商品流通的渠道。   - 公司正在开会讨论广开新渠道的模式。 - 例文ピンイン:   - zhè tiáo qú dào shì wèi cóng mì yún shuǐ kù yǐn sh
250	畅销	68	0751-1000.md	1029	锦上添花	example_contains	9	## 1029. 锦上添花  - ピンイン: jǐnshàngtiānhuā - 例文:   - 这些原本畅销的产品再加以宣传，可以起到锦上添花的作用。   - 老师对这篇优秀论文做了补充，真是锦上添花。   - 刘红在最后一天的比赛中锦上添花，又为中国队夺得了一枚金牌。   - 雕塑进一步美化了这座美丽的城市，犹如锦上添花。   - 我们不仅要做锦上添花的事情，更要做雪中送炭的事情。 - 例文ピンイン:   - zhè xiē yuán běn chàng xiāo de 
258	嘲笑	70				example_contains	0	
278	成员	76	2251-2500.md	1884	条约	example_contains	2	## 1884. 条约  - ピンイン: tiáoyuē - 例文:   - 两国签订了经济合作条约   - 有关国家同意签订和平友好条约   - 这是一个不平等条约，我们不能接受   - 条约内容规定，互相尊重对方领土完整   - 以前签订的那些条约现在还有效   - 他很会调和家庭成员之间的关系   - 他们之间矛盾太深，根本无法调和   - 他们吵架了，你去调和一下吧   - 他们之间的问题我恐怕调和不了   - 经过我的耐心调和，他们总算是不了 - 例文ピンイン:  
279	呈现	76	3001-3250.md	2434	阵地	example_contains	3	## 2434. 阵地  - ピンイン: zhèn dì(zhèn dì) - 例文:   - 敌人的阵地被我军占领了。「战士们顽强地坚守着阵地，等待   - 增援部队。「我方终于攻破了敌人的阵地。   - 敌人阵地上的情况。   - 比喻某些重要的工作领域   - 文艺阵地呈现出一派繁荣景象。我们要巩固思想阵地，让青   - 少年树立远大的理想和人生目标。   - 学校要做好教育阵地的各项工   - 作。1我们要占领正面宣传的阵地，引导青少年积极向上。 - 例文ピンイン: 
280	诚挚	76				example_contains	0	
281	承办	77				example_contains	0	
290	橙	79				example_contains	0	
295	迟钝	80				example_contains	0	
297	迟疑	81				example_contains	0	
303	充实	82				example_contains	0	
305	冲动	83	0751-1000.md	830	呼吁	example_contains	4	## 0830. 呼吁  - ピンイン: hūyù - 例文:   - 我们呼吁双方保持冷静，避免冲动。   - 我们强烈呼吁有关部门重视群众意见。   - 关于这里的环境保护问题，我们呼吁过很多次了。   - 他呼吁家长们重视孩子的心理健康。   - 政府发出呼吁，希望人们积极参加这次活动。 - 例文ピンイン:   - wǒ men hū yù shuāng fāng bǎo chí lěng jìng， bì miǎn chōng dòng。   - wǒ men qiá
306	冲击	83	2251-2500.md	1996	问世	example_contains	2	## 1996. 问世  - ピンイン: wènshì - 例文:   - 小说刚一问世，就引起了很大反响   - 他的著作已经于上个月问世了   - 我们期待已久的作品终于问世了   - 这种电脑刚问世一个月就卖光了   - 新产品的问世，给市场带来了不小的冲击 - 例文ピンイン:   - xiǎo shuō gāng yī wèn shì， jiù yǐn qǐ le hěn dà fǎn xiǎng   - tā de zhù zuò yǐ jīng yú shàng 
307	冲突	84	1251-1500.md	1351	摩擦	example_contains	3	## 1351. 摩擦  - ピンイン: mó cā - 例文:   - 劫物体之   - 司相互接触，来回移幼箱子摩擦地面，友出一阵刺耳的声音   - 天気大冷，他用両只手互相摩擦着-取暖   - 机器雰件摩擦声音不太，古汁咳修了。名人与人之   - 司或者団体之   - 司的冲突他l.1因力意兄不同，出现了一些小摩擦   - 我之l可的摩擦都己姪解决了，现在美系狼好   - 速対夫妻性格不合，経常友生摩擦   - 连浊小党派之同有狼多摩擦   - 摩擦的双方各不相辻，推也
308	重叠	84	0751-1000.md	987	交叉	example_contains	1	## 0987. 交叉  - ピンイン: jiāochā - 例文:   - 前面是一个交叉路口。   - 他们的行驶路线交叉了。   - 几条线交叉在一起，很难分清。   - 地铁轨道互相交叉，极大方便了交通。   - （活动、内容等）穿插、重叠颁奖和表演活动交叉进行。   - 我们对这两章的内容交叉着介绍。   - 各个部门的工程交叉进行，保证明年就可以完工。   - 我们交叉着改作业，可能会更快一些。 - 例文ピンイン:   - qián miàn shì yí gè 
309	重阳节	84				example_contains	0	
310	崇拜	84				example_contains	0	
312	崇敬	85				example_contains	0	
313	抽空	85	0251-0500.md	298	柚室	example_contains	1	## 0298. 柚室  - ピンイン: yòu shì - 例文:   - 作抽空到我力､公室来一趣。   - 我共友太投了，得抽空去理一理。   - 休抽空帯我把迭小表莫上'巴。   - 他抽了一小室，到外面打屯活 去了。   - 我達両天太忙了，実在抽不出空。 - 例文ピンイン:   - zuò chōu kòng dào wǒ lì ､ gōng shì lái yī qù.   - wǒ gòng yǒu tài tóu le ， dé chōu kòng qù l
314	稠密	85				example_contains	0	
315	筹备	85				example_contains	0	
316	踌躇	86				example_contains	0	
317	丑恶	86	0751-1000.md	1005	揭露	example_contains	1	## 1005. 揭露  - ピンイン: jiēlù - 例文:   - 他在文章中揭露了这种丑恶现象。   - 我要把他的阴谋揭露出来。   - 他大胆揭露了这伙人的诈骗手段。   - 他的丑闻揭露出来后，人们都很震惊。   - 他揭露了这种做法的无知，同时指出了科学的方向。   - 由于他的特殊地位，那时候人们都不敢揭露他。 - 例文ピンイン:   - tā zài wén zhāng zhōng jiē lù le zhè zhǒng chǒu è xiàn xiàng
322	出息	87	1501-1750.md	1718	目光	example_contains	1	## 1718. 目光  - ピンイン: mùguāng - 例文:   - 大家的目光都集中在了屏幕上。＠他知道自己错了，有意避升了妻子的目光   - 学生ｲi]的目光一起投向了老ｿ甲。②眼晴里流露出的情堵、神恋①地目光温和弦子ｲ'1都喜炊地   - 接到乗取通知，弟弟露出欣喜的目光   - 老ｿ市素初的目光姶我留下了根深的印象   - 香香的目光里包含着対该子元限的爱。狐ユ目光沐浴3万③対事物的泛察和孤児能力④违令人目光短浅，没有多大出息。＠他目光敏锐，倣事果断   - 
339	喘气	92				example_contains	0	
342	创立	93	2501-2750.md	2247	依托	example_contains	1	## 2247. 依托 - ピンイン: yītuō - 例文:   - 这个地区通过改革，依托当地的资源优势，建起了大型工厂。   - 我们要紧紧依托重点企业，发展经济。   - 他依托先进理论，创立出了新的管理办法。军队建设逐步实行了自己培养和依托国民教育培养相结合的办法。   - 她把丈夫当成了自己终身的依托。   - 一个好的产品没有市场的依托，就没有前途。   - 他们以当地水资源为依托，建起了发电站。   - 你们失去了资金上的依托，还怎么发展。   - 疆（626
343	创新	93	0001-0250.md	188	部署	example_contains	7	## 0188. 部署  - ピンイン: bùshǔ - 例文:   - 公司正在部署力量，加强技术创新能力。   - 我早在那里部署了一支兵力。   - 他全面部署了各部门今后的工作。   - 完成这个任务需要精心部署，狠抓落实。 - 例文ピンイン:   - gōngsī zhèngzài bùshǔ lìliàng, jiāqiáng jìshù chuàngxīn nénglì.   - wǒ zǎo zài nàlǐ bùshǔ le yì zhī bīnglì.  
344	创业	94				example_contains	0	
345	创作	94	0001-0250.md	198	采集	example_contains	11	## 0198. 采集  - ピンイン: cǎijí - 例文:   - 他采集了很多植物标本。   - 我采集了一些石头的样本回来。   - 他利用网络采集了大量销售信息。   - 在古代，一般妇女负责采集果实，男人负责打猎。   - 他到处去采集民歌，回来后整理、创作。 - 例文ピンイン:   - tā cǎijí le hěn duō zhíwù biāoběn.   - wǒ cǎijí le yìxiē shítou de yàngběn huí lái.   - 
351	纯粹	96	2251-2500.md	2010	无理取闹	example_contains	1	## 2010. 无理取闹  - ピンイン: wúlǐqǔnào - 例文:   - 你们不要在这里无理取闹了   - 我怎么是无理取闹啊   - 我这是正当要求   - 你这纯粹是无理取阔，没买到票当然不能上车   - 对这些无理取闹的人，我们只能叫警察了   - 他看起来不是那种无理取闹的人 - 例文ピンイン:   - nǐ men bú yào zài zhè lǐ wú lǐ qǔ nào le   - wǒ zěn me shì wú lǐ qǔ nào a   -
353	词汇	96	1751-2000.md	1443	贫乏	example_contains	2	## 1443. 贫乏  - ピンイン: pín fá - 例文:   - 过去我们的物质生活很贫乏。   - 我小时候，家境很贫乏。贫乏的生活让他懂得要更努力。   - 缺少；不丰富   - 那里森林资源贫乏，需要植树造林。   - 如果词汇贫乏，就写不出好文章来。   - 一个人如果不学习，思想就会贫乏。「那时候吃的、用的都太贫乏了。 - 例文ピンイン:   - guò qù wǒ men de wù zhì shēng huó hěn pín fá。   - wǒ xi
354	慈善	97				example_contains	0	
356	磁带	97				example_contains	0	
361	刺	98	0001-0250.md	216	嘈杂	example_contains	17	## 0216. 嘈杂  - ピンイン: cáozá - 例文:   - 屋里声音嘈杂，什么也听不清。   - 他就生活在这片嘈杂的闹市区。   - 他随时都会睡着，即使在这种嘈杂的场所。   - 外面嘈杂的声音吵得他无法入睡。   - 街上传来了一阵嘈杂、刺耳的声音。 - 例文ピンイン:   - wū lǐ shēngyīn cáozá, shénme yě tīng bù qīng.   - tā jiù shēnghuó zài zhè piàn cáozá de nà
363	丛	99	1501-1750.md	1649	丛然	heading_contains	3	## 1649. 丛然  - ピンイン: cóngrán - 例文:   - 他好像没肝憧，晁出一副差然的祥子。＠他速公一说，大家反而更荘然了   - 我荏然地看着他，不知锐什公オ好｡   - 出路在郷ル？大家都覚得根诘然   - 顿吋，人ｲ   - ､1都変得荘然起来 - 例文ピンイン:   - tāhǎoxiàngméigānchōng，cháochūyīfùchàrándexiángzi。＠tāsùgōngyīshuō，dàjiāfǎnérgèngzhuāngránle
364	凑合	99	1501-1750.md	1675	勉励	example_contains	1	## 1675. 勉励  - ピンイン: miǎnlì - 例文:   - 父母姪常勉励我好好ル瑛吊   - 困唯面前，同学ｲ､都互相勉励着   - 演出姑束后，困惟勉励了演员ｲi]一番   - 他ｲl､]违吋候最需要凡句勉励的活   - 在送小吋刻，大家更需要互相勉励。勉张midnqi6ng＜形＞①能力不鑛凑合着去倣的⑪他生了病，勉张坚持到下班了   - 我姑在某子上，勉强移得着换灯泡   - 他现在迩大小，辻他微速些事星得恨勉张。②不是心甘情鳫的⑪在大家的追l可下，他勉张
366	窜	100				example_contains	0	
367	摧残	100	0751-1000.md	975	践踏	example_contains	1	## 0975. 践踏  - ピンイン: jiàntà - 例文:   - 不要践踏花草。   - 这片农田被羊群践踏了。   - 草坪已被践踏得看不见草了。   - 那里发生了拥挤践踏事件，死伤一百多人。   - 比喻用暴力欺压、破坏：摧残法律是庄严的，不允许任何人践踏。   - 侵略者在别国领土上肆。 - 例文ピンイン:   - bú yào jiàn tà huā cǎo。   - zhè piàn nóng tián bèi yáng qún jiàn tà le。 
371	挫折	101	1251-1500.md	1397	平坦	example_contains	6	## 1397. 平坦  - ピンイン: píng tǎn - 例文:   - 远条路特别平坦，汽牟鞄得根快   - 辻了速段山路，前面就是平坦的大道   - 远条路変得比以前平坦多了   - 他的生活道路根不平坦，姪厨辻根多挫折 - 例文ピンイン:   - yuǎn tiáo lù tè bié píng tǎn， qì móu páo dé gēn kuài   - shí le sù duàn shān lù， qián miàn jiù shì píng tǎn de
