source_file	seq	headword	page	sentence_no	sentence_clean
0251-0500.md	319	出卖	86	4	i 下午侍迭上扱丈件，清大家券必出 席。
0251-0500.md	321	出神	87	4	学生ｲ ､1所得出了神，一幼也不 劫。
0251-0500.md	324	初步	88	1	我ｲ11制灯了一小初歩汁卸1 ,清悠看看。
0251-0500.md	324	初步	88	3	我ｲI 初歩想了一下比慕程序。
0251-0500.md	324	初步	88	4	我ｲ11吋迄次活功遊行 了初歩頽算。
0251-0500.md	325	除	88	2	の我ｲi 不能処分錯了人。
0251-0500.md	325	除	88	4	我ｲ11己錘処分辻 他一次了，姑果他又犯錯涙了。
0251-0500.md	326	处分	89	1	他をII立了一耕新的思想体系。
0251-0500.md	327	处境	89	4	迭秤 芝木形式有t'l新之処，値得鼓励。
0251-0500.md	327	处境	89	5	返秤没汁是建筑史上的6'l新。
0251-0500.md	328	处置	89	1	我ｲi 要妥善虻登遠些阿題。
0251-0500.md	328	处置	89	5	他ｲ ､ 提高了虻董突友事件的能力。
0251-0500.md	329	储备	89	2	我ｲi 最好 以皮対材料价格上舐辻快。
0251-0500.md	329	储备	89	4	工人ｲ'1将儲各的石失、木料迄到了工地。
0251-0500.md	329	储备	89	5	他ｲl､1有充足的線食儲各。
0251-0500.md	330	储存	90	2	我ｲ'､ 先把遠些雑食儲存起来回巴。
0251-0500.md	330	储存	90	4	他ｲﾛ把外江儲存起来，等 甦要吋再用。
0251-0500.md	331	储蓄	90	3	我ｲl､ 附近 有一小備蓄所。
0251-0500.md	333	川流不息	91	4	他解決了屯机垂宜起嘔的l可題。
0251-0500.md	335	传达	91	3	在迭里付姶遮小I可題鈍粋是浪涜吋同。
0251-0500.md	336	传单	91	2	他ｲl､ 之同一宜保持着鈍浩的 友遁。
0251-0500.md	336	传单	91	4	我ｲ ､ 要鈍浩民族的塔言文字。
0251-0500.md	336	传单	91	5	升除他，是力了鈍浩我ｲi 的叺伍。
0251-0500.md	337	传授	92	2	送本河典枚了ｲ艮多反落常用 河ｼに。
0251-0500.md	338	船舶	92	4	他ｲ'1以制造大型船舶 力主。
0251-0500.md	340	串	92	3	我有ｲ艮多 乗音磁帯，休喜炊斫什公都可以。
0251-0500.md	348	炊烟	95	8	送几天他ｲi 又凄合到一起了。
0251-0500.md	348	炊烟	95	9	他ｲ11凄合了八九小人玩ル涛或去了。
0251-0500.md	348	炊烟	95	10	我不想眼他ｲi 凄合，喜 炊待在家里看名。
0251-0500.md	349	垂直	95	8	e他的怒火事上軍-下，圧押不住了。
0251-0500.md	349	垂直	95	10	我ｲn打得致人家逃西軍。
0251-0500.md	352	纯洁	96	1	双方瑳商解決了速小l可題。
0251-0500.md	352	纯洁	96	2	姪辻反夏瑳商，他ｲ､迭成了一致。
0251-0500.md	352	纯洁	96	3	淡判双方就辺界l可題展升了瑳商。
0251-0500.md	352	纯洁	96	4	他ｲ､巳姪公布了瑳商鈷果。
0251-0500.md	355	慈祥	97	1	他ｲ､是岡球双打的最佳搭桜。
0251-0500.md	355	慈祥	97	3	我ｲﾛ是 老搭格了，彼此根熟悉。
0251-0500.md	355	慈祥	97	4	我ｲl､ 現在是生意上的搭桔。
0251-0500.md	355	慈祥	97	6	他ｲ11搭稽倣起了生意。
0251-0500.md	355	慈祥	97	7	我ｲ､搭格打阿球双打，巴。
0251-0500.md	355	慈祥	97	8	他価搭桔 得ｲ艮愉快。
0251-0500.md	355	慈祥	97	9	我ｲI 一起搭枯辻五六年。
0251-0500.md	356	磁带	97	5	我们现在学外语，已经不用磁带了，用CD。
0251-0500.md	357	雌雄	97	4	送坊比幕他ｲi 要一決雌雄。
0251-0500.md	357	雌雄	97	5	@今天我ｲI 価要決出雌雄。
0251-0500.md	357	雌雄	97	7	， 他ｲi 水平相当，唯分雌雄。
0251-0500.md	358	次品	98	2	我ｲi 要保江履量，不出次品。
0251-0500.md	358	次品	98	4	由子技木原因，工r生戸出的遠批声品履 Cl量不合格,成了次品｡ 力了目便宜,他笑的都是次品。
0251-0500.md	359	次序	98	2	我ｲl､ 按先后次序亦理入学手袋。
0251-0500.md	359	次序	98	3	剛 オ的次序迂ｲ良好，現在又乱了。
0251-0500.md	360	伺候	98	5	他ｲl､ 雇了小保簿伺候妬妨。
0251-0500.md	362	从容	99	1	戎士ｲi 狼狼打去了侵略者。
0251-0500.md	362	从容	99	4	作不要打去他ｲl､ 的叔扱性。
0251-0500.md	369	搓	101	1	我ｲi 公司就在那座大夏力公。
0251-0500.md	369	搓	101	3	最 近几年，違里建起了ｲ艮多高楼大夏。
0251-0500.md	370	磋商	101	1	他ｲ ､ 大津破坏坏境，受到了有美部、的怒罰。
0251-0500.md	370	磋商	101	4	他ｲ'1居然大 津宣伶假冒釣劣芦品。
0251-0500.md	370	磋商	101	5	他ｲi 大津槁破坏活幼，泙重枕乱了社会 秩序。
0251-0500.md	374	搭配	103	5	他価搭配得ｲ艮好，取得了阿球双打冠隼。
0251-0500.md	375	达成	103	1	他ｲl, 迭成了一致的意見。
0251-0500.md	375	达成	103	2	美子价格l可題，双方己錘速成坊奴。
0251-0500.md	375	达成	103	3	他ｲi ｲ艮快就迭成了一致。
0251-0500.md	375	达成	103	4	他ｲ､己錘迭成共択，彼此不再提辻 去的事。
0251-0500.md	376	答辩	103	3	他帯領我 ｲ､来到一同会双室。
0251-0500.md	376	答辩	103	4	r技素自帯領大家殿嫁身体。
0251-0500.md	376	答辩	103	9	在姪理的帯領下，今年的硝僅止錆有了ｲ艮大提高。
0251-0500.md	377	答复	104	1	我己姪答夏了他的l可題。
0251-0500.md	377	答复	104	2	我ｲi 会在三天之内答夏作。
0251-0500.md	377	答复	104	6	我ｲi 繁子等到了他的答夏。
0251-0500.md	378	打包	104	2	途些玩具他一件一件打包，都成 了送蛤猿子ｲi 的好礼物。
0251-0500.md	378	打包	104	6	速些菜我ｲI1打包帯走。
0251-0500.md	378	打包	104	7	服各員，剰下的遠些瀞我ｲl, 打包，巴。
0251-0500.md	378	打包	104	8	我ｲi 吃不完，只好打包了。
0251-0500.md	381	打架	105	3	我看 見他ｲi 在打架，就根警了。
0251-0500.md	381	打架	105	5	我 躍他ｲ11打了一架。
0251-0500.md	385	大不了	106	7	不用担心，大 不了我ｲi 重倣一遍。
0251-0500.md	386	大臣	106	1	皇帝不斫大臣ｲ､的遠小建双。
0251-0500.md	386	大臣	106	4	ｲ艮多大臣要求修改迄卜決 双。
0251-0500.md	392	大致	107	3	姪理大致同意了我ｲl､ 迭小汁則。
0251-0500.md	392	大致	107	9	大致在20号前后，我ｲi 就考完了。
0251-0500.md	392	大致	107	14	夛徒ｲﾛ 看到警察，立刻就鞄。
0251-0500.md	394	代价	108	1	力了救人，我ｲ ､ 要不惜一切代价。
0251-0500.md	394	代价	108	3	在身致人的成斗中，我ｲ､也付出了況重的代价。
0251-0500.md	396	带领	109	1	我ｲﾛ査一下桔案就清楚了。
0251-0500.md	396	带领	109	3	婆子槁清了迭小l可題。
0251-0500.md	397	怠慢	109	1	我ｲi 不要怠慢了客人。
0251-0500.md	397	怠慢	109	2	他吋推都ｲ艮熟情，没怠慢任何一位来 宴。
0251-0500.md	398	逮捕	109	4	逮捕他的吋候，我ｲ､都在現場。
0251-0500.md	399	担保	109	2	， 老ﾘ市把弦子ｲ､的理想尋向 更崇高的方向。
0251-0500.md	399	担保	109	3	， 我ｲﾛ会把多余的黄金尋向市場。
0251-0500.md	399	担保	109	4	我ｲi 要友拝興沿的手向作用。
0251-0500.md	399	担保	109	7	他ｲl､ 最大限 度地友拝了盗金的尋向作用。
0251-0500.md	400	胆怯	110	4	我ｲ､要坐小船オ能到迭那些島坊。
0251-0500.md	401	诞辰	110	2	別在遠ル掲乱了，我ｲi 都忙着泥。
0251-0500.md	402	诞生	110	2	商坊姪菅得不好，面II岳着倒用｡ 公司 己姪倒用好凡小月了。
0251-0500.md	402	诞生	110	3	在市場〉中去下,ｲ艮多小公司瀕'悔倒用。
0251-0500.md	403	淡季	110	1	現在是抜群淡季，蒋客ｲ艮少。
0251-0500.md	403	淡季	110	2	淡季的吋候，我ｲi 基本都号根。
0251-0500.md	403	淡季	110	4	在服装梢僖淡季，我ｲi 打ｲ艮ｲ氏的折和促鏑。
0251-0500.md	406	当场	111	1	他当場画了一幅画送蛤我ｲi ｡ 他当場演唱了迭首外国民歌。
0251-0500.md	407	当初	111	1	我ｲi 当初己姪説好了忠公分配。
0251-0500.md	407	当初	111	5	我ｲi 当初就不皮咳鈷婚。
0251-0500.md	409	当面	112	6	当着他的面，我ｲi 不方便 税遠些。
0251-0500.md	410	当前	112	3	他ｲi 日夜守候在江辺，防止致人登陵。
0251-0500.md	410	当前	112	4	他ｲﾛ汁戈'l明天 早晨登院。
0251-0500.md	410	当前	112	7	我ｲl, 的芦品要尽快登院各地市場。
0251-0500.md	411	当事人	112	4	作ｲl1的小人信息都登乗下来了。
0251-0500.md	411	当事人	112	7	同学ｲﾛ可以登乗相美阿姑査均成翁。
0251-0500.md	411	当事人	112	8	美子公司的具 1体情況，休可以登乗我ｲi 的阿姑。
0251-0500.md	413	当心	113	2	， 我ｲl､ 是按商品等扱来輔定价 格的。
0251-0500.md	413	当心	113	3	， 我ｲﾛ要消除等扱汎念，樹立平等意沢。
0251-0500.md	413	当心	113	4	他ｲi 提高了警 戒的等扱。
0251-0500.md	413	当心	113	6	他ｲl.1在挑逸人 オ方面打破了等級的限制。
0251-0500.md	415	党	113	2	雨季来I1台前，他ｲi 修 筑好了堤双。
0251-0500.md	415	党	113	5	大水〉中段了堤双，蛤人ｲI 的財戸造成了 巨大根失。
0251-0500.md	416	档案	114	4	他ｲI､ ﾇﾅ迭些人采取了致祝志度。
0251-0500.md	417	档次	114	3	le我 ｲI 巳姪平安抵迭中国。
0251-0500.md	417	档次	114	5	作ｲi 抵迭后 清立即通知家人。
0251-0500.md	420	导向	115	2	他価巳姪i司到了不沈活的地歩。
0251-0500.md	421	岛屿	115	1	迭里地勢高ｲ氏不平。
0251-0500.md	421	岛屿	115	2	水忌是往地勢ｲ氏的地方流。
0251-0500.md	421	岛屿	115	3	我ｲi 所赴 的地勢非常容易被故人友現。
0251-0500.md	421	岛屿	115	5	他ｲl､ 守在地勢隆要的地方，防止致人遊攻。
0251-0500.md	422	捣乱	115	2	科学家ｲ､研究了迄里的地欣姑 杓。
0251-0500.md	423	倒闭	115	2	遠小具衣民的收入近両年毎年逓増10％。
0251-0500.md	423	倒闭	115	3	遠家公司的梢僅額以毎小季度3％的速度速増。
0251-0500.md	424	盗窃	116	5	姪辻一天一夜的顛簸，我ｲi 婆子到迭了目 的地。
0251-0500.md	425	稻谷	116	3	他ｲi 迄稗行力是顛倒是非， 混清黒白。
0251-0500.md	425	稻谷	116	5	我ｲl. 的錯婚典礼是在中国奉力、 的。
0251-0500.md	429	得罪	117	3	他ｲ、 把那午坑塾平了。
0251-0500.md	430	灯笼	117	1	他ｲ艮'膳う己在国外留学的ル子。
0251-0500.md	430	灯笼	117	3	他ｲi 又在惟妃老人的財澆了。
0251-0500.md	431	登陆	117	1	我ｲi 友展姪沸是力提高生活水平莫定基砒。
0251-0500.md	431	登陆	117	8	那只猫把老鼠呵在ﾛ欝里了。
0251-0500.md	432	登录	118	3	e迄是用象牙雌刻成的乞未品。
0251-0500.md	432	登录	118	7	公国里有ｲ艮多離刻。
0251-0500.md	433	蹬	118	2	学生ｲ､力老校挨立起了一座雛塑。
0251-0500.md	433	蹬	118	3	迄 我恨喜炊速些雛塑，セイl､ 都非常逼真。
0251-0500.md	435	等级	119	1	休的工作我ｲi 暫吋元法渦劫。
0251-0500.md	435	等级	119	3	他ｲl､ 通辻物履芙励 渦劫大家的叔扱性。
0251-0500.md	435	等级	119	5	汎 次的情堵ｲ艮唯被渦劫起来。
0251-0500.md	439	抵达	120	3	我那天可芸人了，説錯了ｲ艮多活。
0251-0500.md	441	抵制	120	1	作力家道主，我感謝大家的光'I台。
0251-0500.md	441	抵制	120	2	@今天我是糸道主，作ｲl. 啄我 安排就是了。
0251-0500.md	445	递增	121	3	在那小劫蕩的年代，人ｲl､ 普遍鉄乏安全 感。
0251-0500.md	446	颠簸	121	1	他的犯罪劫机我ｲ､述不清楚。
0251-0500.md	446	颠簸	121	2	他沈遠秤活的劫机是什Zh。
0251-0500.md	446	颠簸	121	3	他的劫机狼筒羊，就是想激怒我ｲ､。
0251-0500.md	447	颠倒	122	4	休去打斫一下他ｲi 的劫静。
0251-0500.md	447	颠倒	122	5	快辻苓了，往年公司会蛤我ｲ､友。
0251-0500.md	449	典型	122	3	有了笑励，他ｲl､ 的幼力就会更大。
0251-0500.md	450	点缀	122	4	le医生蛤他測量了劫泳血圧。
0251-0500.md	451	电源	123	1	我ｲI 明天早晨5点劫身去机坊。
0251-0500.md	451	电源	123	4	他ｲ､一大早就劫身了。
0251-0500.md	451	电源	123	5	我ｲl､ 現在劫身不算晩，別大着急。
0251-0500.md	452	垫	123	3	我 ｲi 幼手晩了，票都巽完了。
0251-0500.md	452	垫	123	7	我ｲﾛ只在 一辺看，不会幼手掌。
0251-0500.md	453	惦记	123	2	我ｲl､ ﾇﾅ幼悉的姪沸活幼遊行了盤控。
0251-0500.md	454	奠定	124	1	我ｲi 幼ヌ了一百人参加途次植村活劫。
0251-0500.md	454	奠定	124	4	我ｲl､ 得再功員一次， 争取辻更多的人扱名。
0251-0500.md	455	叼	124	2	天気根冷，水ｲ艮快就凍鈷成 了水。
0251-0500.md	455	叼	124	7	我ｲi 上ｲ乙元的盗金被廉姑了不 能使用。
0251-0500.md	457	雕塑	124	2	走在碇哨的山崖上，我ｲ ､ 都根 害伯。
0251-0500.md	464	定期	126	2	他最近迷上了賭博，輸了ｲ艮 多銭。
0251-0500.md	464	定期	126	4	他ｲ､非法賭博，被抓了 起来。
0251-0500.md	470	董事长	128	3	他ｲﾛ断断禁袋地花了両年吋同， 完成了迄頓渦査工作。
0251-0500.md	471	动荡	128	3	圦 那件事以后，我ｲ､読物底断絶了美系。
0251-0500.md	471	动荡	128	4	他ｲi 矛盾根深，早就断絶 了往来。
0251-0500.md	471	动荡	128	5	他ｲ､恢夏了断絶三年的美系，又成了好朋友。
0251-0500.md	473	动静	129	3	lex 些人排成了両排臥伍。
0251-0500.md	473	动静	129	4	学生ｲI 的叺伍排得根整芥。
0251-0500.md	473	动静	129	7	我ｲ､的千部叺伍忌体是好的。
0251-0500.md	473	动静	129	8	他半止后加入了工人叺伍， 成了一名工r技水員。
0251-0500.md	473	动静	129	10	到了叺伍上，要好好ルカII錦。
0251-0500.md	473	动静	129	11	le速是 一支能移保工国家、保杉人民的叺伍｡ 我ｲi 的叺伍打了根多腔仗。
0251-0500.md	474	动力	129	1	対一方己姪遠反合同，我ｲ､必領身上想出対策。
0251-0500.md	474	动力	129	3	力了緬防意外友生，我ｲI 己姪制定了洋如的 ﾇﾅ策。
0251-0500.md	474	动力	129	4	対子突友事故，作ｲi 要想好ﾇ寸策。
0251-0500.md	475	动脉	129	10	途鞆自行牟蚤然ｲ艮旧，但逐可以対付着騎。
0251-0500.md	475	动脉	129	12	桟不到冥循，我ｲi 就在火牟姑ﾇﾅ付 一晩禰巴。
0251-0500.md	476	动身	130	1	他ｲil巳姪対抗了恨技吋同。
0251-0500.md	481	栋	131	1	針-ﾇ寸緊急情況，我ｲi 采取了対座的措施。
0251-0500.md	481	栋	131	2	@如果友生 可題，他 ｲ､会采取ﾇﾅ厘的方案。
0251-0500.md	481	栋	131	3	針対芙票誰的 可題，他ｲ､想了ｲ艮多ﾇ寸厘的 亦法。
0251-0500.md	481	栋	131	4	我実在淡不出両者之l司的対座美系。
0251-0500.md	481	栋	131	8	違里的建筑高ｲ氏不同，彼 此対皮。
0251-0500.md	482	兜	131	2	我ｲl, 先対照杯准栓査了自己 的工作。
0251-0500.md	482	兜	131	4	我ｲl､ 対照先透，我出了 差距。
0251-0500.md	482	兜	131	5	只要作ｲ､互相ﾇﾅ照一下，就会友現各自的鉄点。
0251-0500.md	485	都市	133	5	老ｿ市走迭教室， 同学ｲi 頓吋安静下来。
0501-0750.md	512	多元化	140	2	我ｲi 采取多元化的管理力、 法，渦劫全体取エ的叔扱性。
0501-0750.md	512	多元化	140	4	随着市物的変化，人ｲi 旅群的方式也越来越多元化。
0501-0750.md	579	废寝忘食	159	3	＠他敷ｲ斤不辻去了，只好坑了実活
0501-0750.md	580	废墟	159	3	我ｲi]的力､法是
0501-0750.md	588	分明	162	1	托摸（抚模)fUm6
0501-0750.md	589	分歧	162	2	娼娼托券了我ｲi]三小兄弟
0501-0750.md	589	分歧	162	4	他圦小把我ｲ､托恭大，イ艮不容易
0501-0750.md	589	分歧	162	6	小都根健康。’＠苓苓托券了我五年，我得根答他
0501-0750.md	590	分散	162	2	⑪登上楼頑花国，可以傭祝整小我市。’＠圦大空傭祝地球，可以
0501-0750.md	594	粉末	163	2	遮秤液体ﾇﾅ皮朕有腐蝕作用。’＠汚水泙重腐蝕了船只、杯梁
0501-0750.md	594	粉末	163	7	徳。’＠他立场堅定，是不会被不良风気腐蝕的。，④物疏上的誘
0501-0750.md	594	粉末	163	8	惑腐銭不了我的臭魂。’＠如果不加彊学才，根容易被落后的思想
0501-0750.md	595	粉色	164	2	遠些木失巳姪腐朽了。’＠速秣材死了以后也不会腐朽
0501-0750.md	595	粉色	164	6	我ｲi]要拠存-腐朽的旧
0501-0750.md	595	粉色	164	8	他ｲi]推翻了腐朽的封建制度
0501-0750.md	596	粉碎	164	2	i ④他現在的家庭负担狼重
0501-0750.md	596	粉碎	164	5	都呼ﾛﾁ威軽弦子ｲi]的深上负担
0501-0750.md	600	丰盛	165	5	那天我ｲi]吃得恨半盛，什公
0501-0750.md	601	丰收	165	2	今年的絞食又半收了。’＠衣民ｲ､達禁三年荻得半收
0501-0750.md	605	风气	167	5	渇。’＠他腹渇得房害，只好住院治方
0501-0750.md	605	风气	167	7	一夜没睡好。’＠晩上千万別凍着肚子，否則容易引起腹湾
0501-0750.md	607	风土人情	167	4	＠他正在上深泥，別去千枕他
0501-0750.md	607	风土人情	167	8	{i]圦来没干挑辻他的正常生活
0501-0750.md	609	封闭	168	2	迭秤机器能迭行自我渦控，不常人工干預。’＠在他的干頽下，我
0501-0750.md	609	封闭	168	3	ｲ､只好改変了倣法
0501-0750.md	611	封锁	168	5	他ｲl､]想在姪沸上封械我ｲ､
0501-0750.md	611	封锁	168	6	他ｲl､]封锁了所有消息,我ｲl､]
0501-0750.md	614	奉献	169	3	他ｲl､]干効ｲ艮足，就是不知道悠
0501-0750.md	617	敷衍	170	2	船根快就要到港ロ了。’＠遠是北方重要的港ロ減市
0501-0750.md	617	敷衍	170	3	ロ毎天送出的船只ｲ艮多
0501-0750.md	617	敷衍	170	4	力了友展姪沸，他ｲ､加快了港ロ建没
0501-0750.md	626	抚摸	173	2	大家的叔扱性非常高雅。’＠面対生活的不幸，他不但没有友心
0501-0750.md	626	抚摸	173	5	家都熱情高雅。’＠比募前臥員ｲl､]士気高雅，有信心李収腔利
0501-0750.md	629	辅助	173	3	我主要補助錘理倣些工作。’＠助
0501-0750.md	630	腐败	174	3	我賂牌上起了小癌溶。’＠域子咬了我
0501-0750.md	630	腐败	174	8	⑪他ｲ｢]之l司的姥溶解升了，又成了好朋友
0501-0750.md	631	腐烂	174	2	r场上有狼多鶴子
0501-0750.md	633	腐朽	175	2	＠迄篇文章歌噸了怖大的祖国。’＠迭首歌歌噸了他吋改革升放的
0501-0750.md	633	腐朽	175	3	我ｲ｢]要大力歌噸他的英雄事迩
0501-0750.md	633	腐朽	175	5	区的蒔歌。’＠他的事迩被到虻歌噸着
0501-0750.md	636	附件	176	2	工作量己姪列在附件中了。’＠遠价丈件有三介附件
0501-0750.md	637	附属	176	2	圦那件事升始，他ｲ､的美系有了隔周。，②力了房子，兄弟之同
0501-0750.md	637	附属	176	3	声生了隔'河。’③他ｲ
0501-0750.md	637	附属	176	4	､]消除了地域隔I河，加強了洵通。，④浮重的対
0501-0750.md	637	附属	176	5	抗加深了他ｲ
0501-0750.md	637	附属	176	6	､]的感情隔周。，⑤我ｲ､交往狼自然，没有隔周矛ﾛ障碍
0501-0750.md	638	复活	176	4	象｡'＠両支球叺込要迭行一场夏活募｡
0501-0750.md	639	复兴	177	1	＜名＞①単介JL的人或生物
0501-0750.md	639	复兴	177	2	我ｲi]対他ｲ､的卜体分別送行了研究
0501-0750.md	639	复兴	177	6	我ｲi]既要考慮到令体利益，更要照砿到集体利益
0501-0750.md	640	副	177	3	我ｲl.1可以先各杼己几，最
0501-0750.md	640	副	177	5	清休ｲl,]各杼己凡，有什公況什公
0501-0750.md	641	副作用	177	3	遠蒻服用后，芦生了ｲ艮大的副作用
0501-0750.md	641	副作用	177	4	遠件事休最好不管，否則ｲ艮容易戸生副作用
0501-0750.md	642	赋予	178	5	核子ｲ､都姑在了家挨眼前
0501-0750.md	643	富裕	178	5	他眼随领等出国坊l可去了
0501-0750.md	644	腹泻	178	8	我ｲﾛ吋戸品遊行了跃畭渦査
0501-0750.md	649	干旱	179	2	公国里有狼多妻工茜品的。’＠他狼喜炊当地的工乞品
0501-0750.md	649	干旱	179	3	了几件工乞品作力記念。’＠迄是当地有名的工茜品
0501-0750.md	651	干涉	180	2	他倣事恨公道，大家都ｲ艮満意
0501-0750.md	651	干涉	180	3	我ｲ11厘当公道
0501-0750.md	651	干涉	180	5	我覚得他送祥倣不公道，打去了我ｲl､]的叔扱
0501-0750.md	651	干涉	180	6	公道地説，作ｲi]的水平通有差距
0501-0750.md	654	感慨	181	3	⑪我ｲn列介公式就能解決速小'可題
0501-0750.md	654	感慨	181	5	我ｲﾛ学了恨多化学公式｡
0501-0750.md	655	感染	181	4	最近公券繁忙，没吋同迄劫。’＠遠是我的公秀，清悠配合一下
0501-0750.md	660	港湾	182	8	港湾里停着ｲ艮多货給
0501-0750.md	661	杠杆	182	3	明晩我ｲ､就友劫攻去
0501-0750.md	661	杠杆	182	4	面攻去，我ｲ11掩鈩
0501-0750.md	661	杠杆	182	5	他ｲi]攻去三天了，偶然没取得腔利
0501-0750.md	661	杠杆	182	8	我ｲl､]反吋任何形式的人身攻去
0501-0750.md	662	高超	183	5	我凡辻根多技乞高超的人，他ｲi]
0501-0750.md	664	高峰	183	4	ｲl.1順利地登上了迄座山的高峰
0501-0750.md	667	高尚	184	7	他高尚的品徳値得我ｲ､敬仰
0501-0750.md	670	告辞	185	2	⑪谢谢悠的招待,我ｲI]告辞了。’＠客人巳姪告锋了
0501-0750.md	670	告辞	185	3	了，我ｲl､]得向悠告锋了。’＠不打枕悠了，我先告锋了
0501-0750.md	675	割	186	5	他至今ｲ乃然一小人辻着孤独的生活
0501-0750.md	678	格局	187	2	他皐负了我ｲI]ﾇ寸他的期望
0501-0750.md	678	格局	187	4	＠体遠祥徴，不是皐负了失心休的人喝
0501-0750.md	689	更新	190	3	他固執得狼，我ｲ11都説服
0501-0750.md	690	更正	190	4	送小句子有l可題，需要更正一下
0501-0750.md	692	工夫	191	5	他在学会中担任了三年願l可
0501-0750.md	692	工夫	191	6	41.]需要一位願l可来報助我ｲi]出主意
0501-0750.md	696	公告	192	4	下午我ｲi]一起去技域汎光
0501-0750.md	696	公告	192	5	我ｲﾛ迎来了首批汎光的客
0501-0750.md	698	公民	192	2	速小地区不ﾘﾖ我ｲﾛ管轄
0501-0750.md	698	公民	192	6	我ｲi]元叔超越自己的管轄萢園
0501-0750.md	699	公婆	192	2	我ｲI､]堅決贯初上级的政策
0501-0750.md	699	公婆	192	3	我ｲi]贯初和平自主的方针，友展
0501-0750.md	699	公婆	192	4	対外美系。’＠在比幕中我会把迭紳耕樗精神贯御到底。’＠上级的
0501-0750.md	699	公婆	192	5	指示得到了ｲ艮好的贯初
0501-0750.md	704	公正	194	2	大F日的光輝照耀看大地
0501-0750.md	705	公证	194	3	他的光輝思想照耀着我ｲi]前逃
0501-0750.md	708	功效	195	4	秤功效。’＠迄耕草有止血的功效
0501-0750.md	712	供给	196	3	工r的原材料都由我ｲi]供
0501-0750.md	712	供给	196	5	我ｲI､]会没法供姶爽
0501-0750.md	712	供给	196	7	市场上的供蛤ｲ艮充足，不用担心供不厘求的情況
0501-0750.md	713	宫殿	196	3	我ｲ､参汎了那里的宮殿。’＠遠座
0501-0750.md	713	宫殿	196	6	他ｲ､友現了一座古代的地下宮殿
0501-0750.md	715	巩固	196	4	有ｲ艮多支持者
0501-0750.md	716	共和国	197	2	他被逃拳力共矛ﾛ国主席
0501-0750.md	716	共和国	197	4	⑬姪辻挨期的努力，他ｲl,]鼠葵领手全国人民建立了共和国
0501-0750.md	719	勾结	197	2	他ｲi]互相勾鈷，坑害消黄者
0501-0750.md	719	勾结	197	4	他ｲI]勾錯起来逃行作編
0501-0750.md	719	勾结	197	6	我友現他ｲi]早就暗中勾姑了
0501-0750.md	720	钩子	198	2	休把衣服桂在钩子上p巴。’＠蝿子栓在了一介钩子上
